日期时间,耗时(s),层位置,氧含量(PPM),舱内温度(℃),基板温度(℃),风速,舱内压力(kPa),风机频率(Hz),湿度(%),水温(℃)
2021-04-24 16:35:02,82,1648,1.048,24.50,129.90,126.45,2.15,0.00,0.00,0.00
2021-04-24 16:35:12,92,1648,1.080,24.43,129.80,126.70,2.05,0.00,0.00,0.00
2021-04-24 16:35:22,102,1648,1.053,24.44,129.90,125.99,2.07,0.00,0.00,0.00
2021-04-24 16:35:32,112,1648,1.053,24.47,130.00,125.83,2.05,0.00,0.00,0.00
2021-04-24 16:35:42,122,1648,1.025,24.47,129.80,126.99,1.99,0.00,0.00,0.00
2021-04-24 16:35:52,132,1648,1.028,24.49,130.00,126.28,2.01,0.00,0.00,0.00
2021-04-24 16:36:02,142,1648,1.053,24.49,129.90,125.59,1.71,0.00,0.00,0.00
2021-04-24 16:36:12,152,1648,1.028,24.49,129.90,126.28,1.83,0.00,0.00,0.00
2021-04-24 16:36:22,162,1648,1.063,24.45,129.80,126.02,2.07,0.00,0.00,0.00
2021-04-24 16:36:32,172,1648,1.072,24.50,129.90,126.46,1.99,0.00,0.00,0.00
2021-04-24 16:36:42,182,1648,1.050,24.48,129.80,125.44,1.87,0.00,0.00,0.00
2021-04-24 16:36:52,192,1648,1.072,24.55,129.90,125.62,2.01,0.00,0.00,0.00
2021-04-24 16:37:02,202,1648,1.000,24.49,130.00,126.61,1.73,0.00,0.00,0.00
2021-04-24 16:37:13,212,1648,1.067,24.45,130.00,125.93,2.13,0.00,0.00,0.00
2021-04-24 16:37:23,222,1648,1.053,24.56,130.00,125.69,1.87,0.00,0.00,0.00
2021-04-24 16:37:33,232,1648,1.025,24.50,129.90,126.14,1.85,0.00,0.00,0.00
2021-04-24 16:37:43,243,1648,1.063,24.48,129.90,125.68,1.85,0.00,0.00,0.00
2021-04-24 16:37:53,253,1648,1.095,24.47,129.90,126.61,1.95,0.00,0.00,0.00
2021-04-24 16:38:03,263,1648,1.045,24.46,129.90,125.40,1.99,0.00,0.00,0.00
2021-04-24 16:38:13,273,1648,1.000,24.46,129.90,125.46,1.83,0.00,0.00,0.00
2021-04-24 16:38:23,283,1648,1.075,24.45,129.90,126.18,1.95,0.00,0.00,0.00
2021-04-24 16:38:33,293,1648,1.028,24.48,129.90,125.22,1.81,0.00,0.00,0.00
2021-04-24 16:38:43,303,1649,1.023,24.51,129.80,126.08,1.71,0.00,0.00,0.00
2021-04-24 16:38:53,313,1649,1.097,24.53,129.80,126.05,1.55,0.00,0.00,0.00
2021-04-24 16:39:03,323,1649,1.090,24.46,130.00,125.97,1.81,0.00,0.00,0.00
2021-04-24 16:39:13,333,1649,1.020,24.50,129.90,126.11,1.97,0.00,0.00,0.00
2021-04-24 16:39:23,343,1649,1.072,24.50,130.00,126.17,1.75,0.00,0.00,0.00
2021-04-24 16:39:33,353,1649,1.075,24.50,130.00,125.56,1.89,0.00,0.00,0.00
